id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
1601041,1507647600,GSR,0.16007,0.361019,0.139064,0.291289,10789.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601042,1507561200,GSR,0.023979,0.229025,0.023979,0.160097,6099.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601043,1507474800,GSR,0.023273,0.036742,0.022111,0.023981,7446.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601044,1507388400,GSR,0.036648,0.038333,0.023224,0.023267,172.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601045,1507302000,GSR,0.02031,0.036833,0.020254,0.036747,171.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601046,1507215600,GSR,0.019154,0.030855,0.019115,0.020303,1217.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601047,1507129200,GSR,0.02447,0.031891,0.018895,0.019154,3335.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601048,1507042800,GSR,0.021599,0.024693,0.017218,0.024447,1176.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601049,1506956400,GSR,0.021493,0.022021,0.017203,0.021549,120.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601050,1506870000,GSR,0.024362,0.026794,0.024276,0.026501,0.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601051,1506783600,GSR,0.021566,0.025521,0.015792,0.024372,82.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601052,1506697200,GSR,0.015057,0.03299,0.014013,0.021555,1297.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601053,1506610800,GSR,0.021137,0.021137,0.00098,0.015055,13.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601054,1506524400,GSR,0.015231,0.022195,0.015062,0.021154,150.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601055,1506438000,GSR,0.014077,0.015293,0.010923,0.015231,9.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601056,1506351600,GSR,0.013657,0.014482,0.010552,0.014116,169.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601057,1506265200,GSR,0.011054,0.013872,0.01105,0.013658,68.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601058,1506178800,GSR,0.011403,0.014807,0.010953,0.011065,32.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601059,1506092400,GSR,0.012698,0.013092,0.01117,0.011404,22.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601060,1506006000,GSR,0.013511,0.014033,0.012462,0.012734,12.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601061,1505919600,GSR,0.016759,0.01762,0.012991,0.013526,185.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601062,1505833200,GSR,0.01954,0.019642,0.016007,0.016842,2.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601063,1505746800,GSR,0.016446,0.020597,0.012601,0.019566,5871.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601064,1505660400,GSR,0.013487,0.027405,0.007889,0.016406,1724.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601065,1505574000,GSR,0.011143,0.015457,0.009522,0.013514,227.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601066,1505487600,GSR,0.008805,0.018132,0.008772,0.011151,53.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601067,1505401200,GSR,0.009117,0.020043,0.006998,0.008724,365.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601068,1505314800,GSR,0.010895,0.013015,0.009047,0.009047,25.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601069,1505228400,GSR,0.018799,0.018799,0.010817,0.010895,30.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601070,1505142000,GSR,0.020374,0.020845,0.011364,0.018793,42.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601071,1505055600,GSR,0.024991,0.025058,0.016959,0.020381,0.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601072,1504969200,GSR,0.021712,0.02592,0.020239,0.024912,19.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601073,1504882800,GSR,0.023978,0.027662,0.021025,0.021689,11.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601074,1504796400,GSR,0.025481,0.029355,0.023003,0.023936,15.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601075,1504710000,GSR,0.028728,0.031571,0.022664,0.025488,6.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601076,1504623600,GSR,0.025329,0.03613,0.023006,0.028717,57.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601077,1504537200,GSR,0.025338,0.040468,0.018691,0.025522,317.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601078,1504450800,GSR,0.024664,0.042671,0.020463,0.025428,1234.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601079,1504364400,GSR,0.018413,0.025922,0.016339,0.024656,26.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601080,1504278000,GSR,0.017825,0.024758,0.017453,0.018401,17.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601081,1504191600,GSR,0.018825,0.024102,0.016372,0.017802,94.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601082,1504105200,GSR,0.02464,0.029576,0.018783,0.018832,38.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601083,1504018800,GSR,0.034163,0.034222,0.015987,0.024683,68.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601084,1503932400,GSR,0.028474,0.03588,0.016886,0.034183,190.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601085,1503846000,GSR,0.061486,0.06152,0.021304,0.028478,12.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601086,1503759600,GSR,0.034515,0.232306,0.034282,0.06149,2.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601087,1503673200,GSR,0.01192,0.034591,0.011792,0.034524,616.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601088,1503586800,GSR,0.022963,0.023004,0.011736,0.011897,31.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601089,1503500400,GSR,0.024378,0.024816,0.018921,0.022279,3.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601090,1503414000,GSR,0.005298,0.033048,0.004965,0.024367,10.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601091,1503327600,GSR,0.020995,0.032901,0.005223,0.005309,46.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601092,1503241200,GSR,0.020937,0.032895,0.020858,0.020947,11.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601093,1503154800,GSR,0.026747,0.031269,0.021066,0.021066,3.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601094,1503068400,GSR,0.024857,0.026924,0.023995,0.026873,5.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601095,1502982000,GSR,0.049321,0.049596,0.024049,0.024878,74.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601096,1502895600,GSR,0.036833,0.0535,0.034113,0.049472,54.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601097,1502809200,GSR,0.01252,0.062228,0.010866,0.036867,1330.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601098,1502722800,GSR,0.030679,0.031388,0.010582,0.012506,207.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601099,1502636400,GSR,0.026702,0.030771,0.013602,0.030596,55.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601100,1502550000,GSR,0.040547,0.041286,0.018686,0.026685,199.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601101,1502463600,GSR,0.020646,0.040656,0.020191,0.040585,14.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601102,1502377200,GSR,0.038762,0.03901,0.020406,0.020662,281.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601103,1502290800,GSR,0.02175,0.039047,0.021668,0.038765,359.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601104,1502204400,GSR,0.036606,0.036663,0.018809,0.021748,757.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601105,1502118000,GSR,0.027179,0.038102,0.020746,0.036631,40.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601106,1502031600,GSR,0.038547,0.048079,0.027015,0.027152,114.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601107,1501945200,GSR,0.070457,0.071138,0.037627,0.038633,533.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601108,1501858800,GSR,0.031429,0.082445,0.031422,0.07044,3655.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601109,1501772400,GSR,0.039028,0.040101,0.027728,0.031443,2024.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601110,1501686000,GSR,0.02728,0.041743,0.027035,0.039022,29.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601111,1501599600,GSR,0.026427,0.054526,0.026146,0.027241,144.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601112,1501513200,GSR,0.03683,0.057208,0.024867,0.026474,235.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601113,1501426800,GSR,0.070999,0.074063,0.048372,0.053811,1238.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601114,1501340400,GSR,0.049986,0.071675,0.026198,0.069866,5593.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601115,1501254000,GSR,0.023732,0.040612,0.023642,0.040572,1673.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601116,1501167600,GSR,0.037142,0.039809,0.02023,0.023633,1426.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
1601117,1501081200,GSR,0.020636,0.037188,0.015956,0.037188,1854.0,0.0,2018-10-13 08:26:28 UTC,2018-10-13 08:26:28 UTC
